clips	text	text_process	pictos	tokens
cefc-fleuron-V_Scol_endo_01_P11-28	par chèque mais par carte bancaire	par chèque mais par carte bancaire	[7212, 16605, 11377, 7212, 4751]	par chèque alors_que par carte_bancaire
cefc-fleuron-V_Scol_endo_01_P11-14	et vous avez vraiment pas du tout la possibilité de mettre ça dans un coin parce que là ça m' ça m'ennuie en plus	et vous avez vraiment pas du tout la possibilité de mettre ça dans un coin parce que là ça m' ça m'ennuie en plus	[11399, 7304, 32761, 5526, 8476, 37861, 7074, 6989, 6906, 7034, 2627, 3382, 11348, 5375, 6906, 29074, 6906, 6632, 37824]	et vous avoir non le décider de mettre celle-là dans un coin parce_que là celle-là m celle-là me déranger
cefc-fleuron-V_Scol_endo_01_P11-22	et donc vous êtes passée à la cellule web	et donc vous êtes passée à la cellule web	[11399, 9839, 7304, 31999, 7041, 8476, 36340, 16913]	et passé vous passer à le cellules_souches page_internet
cefc-fleuron-V_Scol_endo_01_P11-6	et vous pouvez pas du tout euh	et vous pouvez pas du tout euh	[11399, 7304, 35949, 5526]	et vous pouvoir non
cefc-fleuron-V_Scol_endo_01_P11-30	ouais je vais voir d'accord	oui je vais voir d'accord	[5584, 9829, 6632, 6564, 31410]	oui prochain me voir d'accord
cefc-fleuron-V_Scol_endo_01_P11-29	quatorze euros cinquante-sept	quatorze euros cinquante-sept	[29266, 5092, 29358]	14 euro 57
cefc-fleuron-V_Scol_endo_01_P11-5	ben alors ce qu'il y a c'est que le bureau en face est fermé	ben alors ce qu'il y a c'est que le bureau en face est fermé	[7095, 11377, 9001, 7095, 36480, 11351, 8476, 2916, 27365, 36480, 36311]	celui-là alors_que il_y_a celui-là être que le bureau en_face être fermé
cefc-fleuron-V_Scol_endo_01_P11-2	hum en fait euh c'est pour mon inscription voilà	hum en fait euh c'est pour mon inscription voilà	[7095, 36480, 7194, 12264, 9902]	celui-là être pour mon s'enregistrer
cefc-fleuron-V_Scol_endo_01_P11-8	il faut que non pas du tout parce que je ne suis pas régisseur de recettes	il faut que non pas du tout parce que je ne suis pas régisseur de recettes	[15523, 11351, 5526, 11348, 6632, 36480, 5526, 37908, 7074, 7805]	devoir que non parce_que me être non administrateur_d'établissement_pénitentiaire de recette_de_cuisine
cefc-fleuron-BU_partie_1-1-55	parce que il y a des trucs qui sont disponibles mais que tu peux pas emprunter tu peux juste consulter sur place par exemple	parce que il y a des trucs qui sont disponibles mais que tu peux pas emprunter tu peux juste consulter sur place par exemple	[11348, 9001, 5374, 11318, 11351, 36480, 37784, 11377, 11351, 6625, 35949, 34790, 5526, 6625, 35949, 21381, 9840, 5451, 9819]	parce_que il_y_a plusieurs truc que être volonté alors_que que toi pouvoir emprunt non toi pouvoir juste demander sur place
cefc-fleuron-BU_partie_1-1-14	après on peut faire euh	après on peut faire euh	[32749, 31672, 35949, 6190]	après nous pouvoir faire
cefc-fleuron-BU_partie_1-1-52	ah oui et et empruntable ça veut dire qu'il est euh que tu peux l'emprunter	ah oui et et empruntable ça veut dire qu'il est euh que tu peux l'emprunter	[5584, 11399, 6906, 5441, 9693, 11351, 6480, 36480, 11351, 6625, 35949, 8476, 34790]	oui et celle-là vouloir dire que il être que toi pouvoir le emprunt
cefc-fleuron-BU_partie_1-1-36	voilà voilà c'est ça	voilà voilà c'est ça	[7095, 36480, 6906, 3417]	celui-là être celle-là !
cefc-fleuron-BU_partie_1-1-12	ou si tu as carrément un titre ouais	ou si tu as carrément un titre oui	[11317, 28359, 6625, 32761, 2627, 37406, 5584]	ou si toi avoir un titre oui
cefc-fleuron-BU_partie_1-1-29	à metz euh il me semble aussi ouais	à metz euh il me semble aussi oui	[7041, 2704, 6480, 6632, 36480, 5584]	à ville il me être oui
cefc-fleuron-BU_partie_1-1-45_2	dans le rayon il faut noter ça en fait pour le retrouver	dans le rayon il faut noter ça en fait pour le retrouver	[7034, 8476, 16129, 15523, 8490, 6906, 7194, 8476, 24773]	dans le département devoir noter celle-là pour le retrouver
cefc-fleuron-BU_partie_1-1-21	quand tu es vraiment sûr de ce que tu veux en fait	quand tu es vraiment sûr de ce que tu veux en fait	[32874, 6625, 5584, 7074, 7095, 11351, 6625, 5441]	quand toi oui de celui-là que toi vouloir
cefc-fleuron-BU_partie_1-1-43	donc c'est-à-dire que il y a deux exemplaires qui sont disponibles au crapel on a la localisation dans le crapel qui est au rayon généralités la cote	donc c'est-à-dire que il y a deux exemplaires qui sont disponibles au crapel on a la localisation dans le crapel qui est au rayon généralités la cote	[16705, 11351, 9001, 2628, 31310, 11351, 36480, 37784, 11709, 2704, 31672, 32761, 8476, 32292, 7034, 8476, 2704, 11351, 36480, 11709, 16129, 37544, 8476, 37544]	expliquer que il_y_a deux tranquille que être volonté au ville nous avoir le filière dans le ville que être au département groupe_parlementaire le groupe_parlementaire
cefc-fleuron-BU_partie_1-1-31	donc je repars sur recherche rapide	donc je repars sur recherche rapide	[6632, 37163, 2432, 5451, 32138, 37850]	me une_autre_fois partir sur recherche vite
cefc-fleuron-BU_partie_1-1-49	celui-là celui que je notais	celui-là celui que je notais	[7095, 11351, 9839, 6632, 8490]	celui-là que passé me noter
cefc-fleuron-BU_partie_1-1-47	c'est regarder le statut	c'est regarder le statut	[7095, 36480, 6564, 8476, 8113]	celui-là être voir le statut
cefc-fleuron-BU_partie_1-1-10	les mots clés de la recherche	les mots clés de la recherche	[8477, 9837, 2451, 7074, 8476, 32138]	les mot clefs de le recherche
cefc-fleuron-BU_partie_1-1-24	la bu de droit	la bu de droit	[8476, 12333, 7074, 8612]	le association_à_but_non_lucratif de juriste
cefc-fleuron-BU_partie_1-1-30	donc je vais effectuer une recherche	donc je vais effectuer une recherche	[9829, 6632, 6190, 8474, 32138]	prochain me faire une recherche
cefc-fleuron-BU_partie_1-1-16	ou alors on peut faire des recherches avancées où là on rentre le titre l'auteur le sujet	ou alors on peut faire des recherches avancées où là on rentre le titre l'auteur le sujet	[11317, 31672, 35949, 15320, 7764, 5375, 31672, 29714, 8476, 37406, 8476, 11258, 8476, 34796]	ou nous pouvoir investiguer où là nous rentrer_à_la_maison le titre le écrivain le matière_scolaire
cefc-fleuron-BU_partie_1-1-45_1	mh mh			
cefc-fleuron-BU_partie_1-1-18	voilà voilà quand c'est vraiment ciblé on peut aussi même rechercher spécifiquement dans les différentes	voilà voilà quand c'est vraiment ciblé on peut aussi même rechercher spécifiquement dans les différentes	[32874, 7095, 11236, 31672, 35949, 4667, 21466, 7034, 8477, 32394, 3417]	quand celui-là cibler nous pouvoir même rechercher dans les différent !
cefc-fleuron-BU_partie_1-1-3	pour emprunter un livre donc	pour emprunter un livre donc	[7194, 34790, 2627, 2450]	pour emprunt un livre
cefc-fleuron-BU_partie_1-1-17	euh l'année on on a	euh l'année on on a	[8476, 6903, 31672, 32761]	le année nous avoir
cefc-fleuron-BU_partie_1-1-35	là tu obtiens tous les les résultats contenant tes mots clés	là tu obtiens tous les les résultats contenant tes mots clés	[5375, 6625, 24208, 5596, 8477, 6147, 5439, 12283, 9837, 2451]	là toi attraper tout les résultat dedans à_toi mot clefs
cefc-fleuron-BU_partie_1-1-2	pour effectuer une recherche à la bibliothèque	pour effectuer une recherche à la bibliothèque	[7194, 6190, 8474, 32138, 7041, 8476, 3065]	pour faire une recherche à le bibliothèque
cefc-fleuron-BU_partie_1-1-50	hum il y en a un qui est manquant	hum il y en a un qui est manquant	[11709, 9001, 2627, 11351, 36480]	au il_y_a un que être
cefc-fleuron-BU_partie_1-1-28	ça s'est étendu à metz	ça s'est étendu à metz	[9839, 6906, 5593, 7041, 2704]	passé celle-là étendre à ville
cefc-fleuron-BU_partie_1-1-13	ou un titre un titre ou un nom d'auteur	ou un titre un titre ou un nom d'auteur	[11317, 2627, 37406, 2627, 37406, 11317, 2627, 38570, 7074, 11258]	ou un titre un titre ou un nom de écrivain
cefc-fleuron-BU_partie_1-1-44	et c'est surtout ça qu'il faut noter pour pour pouvoir localiser le l'exemplaire	et c'est surtout ça qu'il faut noter pour pour pouvoir localiser le l'exemplaire	[11399, 7095, 36480, 6906, 11351, 15523, 8490, 7194, 35949, 24741, 8476, 31310]	et celui-là être celle-là que devoir noter pour pouvoir repérer le tranquille
cefc-fleuron-BU_partie_1-1-23	par exemple atilf	par exemple atilf	[37779]	quelqu'un
cefc-fleuron-BU_partie_1-1-37	et donc là c'est c'est c'est celui que je cherche	et donc là c'est c'est c'est celui que je cherche	[11399, 5375, 7095, 36480, 7095, 36480, 7095, 36480, 7095, 11351, 6632, 6947]	et là celui-là être celui-là être celui-là être celui-là que me chercher
cefc-fleuron-BU_partie_1-1-15	donc soit c'est des recherches par thèmes	donc soit c'est des recherches par thèmes	[36480, 7095, 36480, 5374, 32138, 7212, 34796]	être celui-là être plusieurs recherche par matière_scolaire
cefc-fleuron-BU_partie_1-1-25	les voilà les différentes bibliothèques de l'université de lorraine	les voilà les différentes bibliothèques de l'université de lorraine	[8477, 32394, 3065, 7074, 8476, 12333]	les différent bibliothèque de le association_à_but_non_lucratif
cefc-fleuron-BU_partie_1-1-46	après voilà c'est ça c'est ça qu'il faut noter chose aussi qui est importante	après voilà c'est ça c'est ça qu'il faut noter chose aussi qui est importante	[32749, 7095, 36480, 6906, 7095, 36480, 6906, 11351, 15523, 8490, 11318, 11351, 36480, 22627]	après celui-là être celle-là celui-là être celle-là que devoir noter truc que être admirer
cefc-fleuron-BU_partie_1-1-56	voilà c'est ça ça indique en général si c'est consultation sur place	voilà c'est ça ça indique en général si c'est consultation sur place	[7095, 36480, 6906, 36964, 37029, 28359, 7095, 36480, 38873, 5451, 9819, 3417]	celui-là être celle-là désignation souvent si celui-là être consultation sur place !
cefc-fleuron-BU_partie_1-1-22	dans les différentes bibliothèques	dans les différentes bibliothèques	[7034, 8477, 32394, 3065]	dans les différent bibliothèque
cefc-fleuron-BU_partie_1-1-26	c'est ça bah de de nancy	c'est ça bah de de nancy	[7095, 36480, 6906, 7074, 36935]	celui-là être celle-là de haut_du_corps
cefc-fleuron-BU_partie_1-1-8	il suffit juste de rentrer les euh les termes	il suffit juste de rentrer les euh les termes	[6480, 21381, 7074, 29714, 8477, 32765]	il juste de rentrer_à_la_maison les limite
cefc-fleuron-BU_partie_1-1-27	mais maintenant je crois avec euh la création de l'université de lorraine	mais maintenant je crois avec euh la création de l'université de lorraine	[11377, 32747, 6632, 38796, 7064, 8476, 11749, 7074, 8476, 2704]	alors_que maintenant me penser avec le création de le ville
cefc-fleuron-BU_partie_1-1-6	il faut aller sur où il y a des postes informatiques qui sont à disposition	il faut aller sur où il y a des postes informatiques qui sont à disposition	[15523, 8142, 5451, 7764, 9001, 5374, 7795, 8093, 11351, 36480, 7041, 32394, 32675]	devoir aller sur où il_y_a plusieurs métier documentaire que être à différent position
cefc-fleuron-BU_partie_1-1-42	et là j'obtiens les informations	et là j'obtiens les informations	[11399, 5375, 6632, 24208, 8477, 9899]	et là me attraper les information
cefc-fleuron-BU_partie_1-1-7	et on on les c'est la fenêtre qui est ouverte	et on on les c'est la fenêtre qui est ouverte	[11399, 31672, 8477, 7095, 36480, 8476, 2611, 11351, 36480, 36309]	et nous les celui-là être le fenêtre que être ouvert
cefc-fleuron-BU_partie_1-1-4	pour emprunter un livre c'est ça	pour emprunter un livre c'est ça	[7194, 34790, 2627, 2450, 7095, 36480, 6906]	pour emprunt un livre celui-là être celle-là
cefc-fleuron-V_Rint_exo_05_P8-32	ce n'est pas	ce n'est pas	[7095, 36480, 5526]	celui-là être non
cefc-fleuron-V_Rint_exo_05_P8-33	ça va très vite à remplir une petite signature une date	ça va très vite à remplir une petite signature une date	[37850, 7041, 38805, 8474, 4716, 12317, 8474, 34803]	vite à remplir une petit signature une date
cefc-fleuron-V_Rint_exo_05_P8-88	si vous avez d'autres questions même plus tard hein	si vous avez d'autres questions même plus tard hein	[28359, 7304, 32761, 7074, 17056, 7217, 5526, 13080]	si vous avoir de autres question non suite_
cefc-fleuron-V_Rint_exo_05_P8-56	et puis euh ce soir ou demain et puis jeudi vous revenez au bureau avec les photocopies	et puis euh ce soir ou demain et puis jeudi vous revenez au bureau avec les photocopies	[26997, 11317, 38278, 6536, 7304, 6630, 11709, 2916, 7064, 8477, 9876]	nuit ou lendemain jeudi vous retourner au bureau avec les photocopie
cefc-fleuron-V_Rint_exo_05_P8-26	et puis euh moi je m'occuperai de la partie administrative	et puis euh moi je m'occuperai de la partie administrative	[6632, 9829, 6632, 24863, 7074, 8476, 27093, 21802]	me prochain me être_attentif de le pièce document
cefc-fleuron-V_Rint_exo_05_P8-35	les photocopies de votre carte d'identité ou de votre passeport la carte européenne	les photocopies de votre carte d'identité ou de votre passeport la carte européenne	[8477, 9876, 7074, 12285, 5987, 11317, 7074, 12285, 6171, 8476, 5505, 5468]	les photocopie de votre carte_d'identité ou de votre passeport le carte_géographique europe
cefc-fleuron-V_Rint_exo_05_P8-87	pas pour l'instant bon bah	pas pour l'instant bon bah	[5526, 13026, 34641]	non désormais exact
cefc-fleuron-V_Rint_exo_05_P8-90	tous les après-midis donc vous pouvez revenir ici c'est vraiment le bureau des étudiants erasmus voilà	tous les après-midis donc vous pouvez revenir ici c'est vraiment le bureau des étudiants erasmus voilà	[5596, 8477, 7268, 7304, 35949, 6630, 5382, 7095, 36480, 8476, 2916, 7074, 6042, 12333]	tout les après-midi vous pouvoir retourner ici celui-là être le bureau de élève association_à_but_non_lucratif
cefc-fleuron-V_Rint_exo_05_P8-14	ok merci	ok merci	[31410, 8128]	d'accord merci
cefc-fleuron-V_Rint_exo_05_P8-19	alors c'est madame nnaammee qui est le professeur	alors c'est madame nnaammee qui est le professeur	[7095, 36480, 4744, 36935, 11351, 36480, 8476, 2457]	celui-là être monsieur haut_du_corps que être le maître
cefc-fleuron-V_Rint_exo_05_P8-49	est-ce qu'on peut prendre rendez-vous jeudi	est-ce qu'on peut prendre rendez-vous jeudi	[3418, 31672, 35949, 24609, 6536]	est-ce_que nous pouvoir prendre_rendez-vous jeudi
cefc-fleuron-V_Rint_exo_05_P8-4	c'est la première fois qu'on se voit	c'est la première fois qu'on se voit	[7095, 36480, 8476, 37752, 11351, 31672, 6564]	celui-là être le première_fois que nous voir
cefc-fleuron-V_Rint_exo_05_P8-73	oh excusez-moi je vais vous noter sur le le dossier la date du rendez-vous	oh excusez-moi je vais vous noter sur le le dossier la date du rendez-vous	[3200, 11625, 6632, 8142, 7304, 8490, 5451, 8476, 3233, 8476, 34803, 7074, 16165, 3417]	- être_désolé me aller vous noter sur le dossier le date de rendez-vous !
cefc-fleuron-V_Rint_exo_05_P8-28	je vais vous donner un dossier pour déjà	je vais vous donner un dossier pour déjà	[6632, 8142, 7304, 17040, 2627, 3233, 7194]	me aller vous donner un dossier pour
cefc-fleuron-V_Rint_exo_05_P8-5	vous n'êtes jamais venue dans dans le bureau d'accord	vous n'êtes jamais venue dans dans le bureau d'accord	[9839, 7304, 5527, 32669, 7034, 8476, 2916, 31410]	passé vous jamais venir dans le bureau d'accord
cefc-fleuron-V_Rint_exo_05_P8-42	c'est bien c'est cette carte que j'aurai besoin	c'est bien c'est cette carte que j'aurai besoin	[7095, 36480, 5397, 7095, 36480, 8476, 5505, 11351, 6632, 37160]	celui-là être heureusement celui-là être le carte_géographique que me besoin
cefc-fleuron-V_Rint_exo_05_P8-7	quand non eh vendredi	quand non eh vendredi	[32874, 5525, 6629]	quand non vendredi
cefc-fleuron-V_Rint_exo_05_P8-29	euh faire les démarches pour avoir une la carte d'étudiant	euh faire les démarches pour avoir une la carte d'étudiant	[6190, 8477, 24709, 7194, 32761, 8474, 8476, 5505, 7074, 32666, 3417]	faire les démarches pour avoir une le carte_géographique de étudiant !
cefc-fleuron-V_Rint_exo_05_P8-2	alors dites-moi vous êtes nnaammee	alors dites-moi vous êtes nnaammee	[9693, 6632, 7304, 36480, 12333]	dire me vous être association_à_but_non_lucratif
cefc-fleuron-V_Rint_exo_05_P8-51	hum pardon je ne comprends	hum pardon je ne comprends	[11625, 6632, 11697]	être_désolé me comprendre
cefc-fleuron-V_Rint_exo_05_P8-38	mais là je l'ai déjà donc ne faites pas de copie	mais là je l'ai déjà donc ne faites pas de copie	[11377, 5375, 6632, 8476, 32761, 6190, 5526, 7074, 7064, 4766]	alors_que là me le avoir faire non de avec pie
cefc-fleuron-V_Rint_exo_05_P8-50	quatorze heures ça vous va jeudi quatorze heures jeudi vingt-quatre septembre	quatorze heures ça vous va jeudi quatorze heures jeudi vingt-quatre septembre	[29476, 7304, 11597, 6536, 29476, 6536, 29286, 35929]	14:00 vous comment_ça_va jeudi 14:00 jeudi 24 septembre
cefc-fleuron-V_Rint_exo_05_P8-61	jeudi vingt-quatre	jeudi vingt-quatre	[6536, 29286]	jeudi 24
cefc-fleuron-V_Rint_exo_05_P8-34	et puis euh euh			
cefc-fleuron-V_Rint_exo_05_P8-18	littérature je vois littérature	littérature je vois littérature	[25191, 6632, 6564, 25191]	littéraire me voir littéraire
cefc-fleuron-V_Rint_exo_05_P8-41	voici ma carte carte	voici ma carte carte	[16823, 12264, 5505, 3417]	montrer mon carte_géographique !
cefc-fleuron-V_Rint_exo_05_P8-83	oui voilà je vous la redonne j'en ai besoin que d'une ça me suffira	oui voilà je vous la redonne j'en ai besoin que d'une ça me suffira	[9829, 5584, 6632, 7304, 8476, 37163, 17040, 6632, 11709, 37160, 11351, 7074, 8474, 6906, 6632]	prochain oui me vous le une_autre_fois donner me au besoin que de une celle-là me
cefc-fleuron-V_Rint_exo_05_P8-77	oui bon bah c'est parfait c'est très bien	oui bon bah c'est parfait c'est très bien	[5584, 34641, 7095, 36480, 38006, 7095, 36480, 11599]	oui exact celui-là être impeccable celui-là être très_bien
cefc-fleuron-V_Rint_exo_05_P8-16	voici votre dossier nnaammee donc je vais regarder dans les documents que j'ai euh	voici votre dossier nnaammee donc je vais regarder dans les documents que j'ai euh	[16823, 12285, 3233, 36935, 9829, 6632, 6564, 7034, 8477, 16169, 11351, 6632, 32761, 3417]	montrer votre dossier haut_du_corps prochain me voir dans les documents_personnels que me avoir !
cefc-fleuron-V_Rint_exo_05_P8-70	je vous remets le papier	je vous remets le papier	[6632, 7304, 16351, 8476, 8349]	me vous remettre le papier
cefc-fleuron-V_Rint_exo_05_P8-12	euh je vais regarder dans votre dossier	euh je vais regarder dans votre dossier	[9829, 6632, 6564, 7034, 12285, 3233]	prochain me voir dans votre dossier
cefc-fleuron-V_Rint_exo_05_P8-23	oui hum j'ai un rendez-vous avec elle cette semaine	oui hum j'ai un rendez-vous avec elle cette semaine	[5584, 6632, 32761, 2627, 16165, 31670, 8476, 37732]	oui me avoir un rendez-vous il le semaine
cefc-fleuron-V_Rint_exo_05_P8-64	je vous ferai la saisie	je vous ferai la saisie	[9829, 6632, 7304, 6190, 8476, 21851]	prochain me vous faire le écrire_sur_un_clavier
cefc-fleuron-V_Rint_exo_05_P8-22	vous avez déjà entendu son nom	vous avez déjà entendu son nom	[9839, 7304, 6572, 12272, 38570]	passé vous entendre son nom
cefc-fleuron-V_Rint_exo_05_P8-62	à quatorze heures	à quatorze heures	[7041, 29476]	à 14:00
cefc-fleuron-V_Rint_exo_05_P8-60	treize heures	treize heures	[29452]	1:00
cefc-fleuron-V_Rint_exo_05_P8-25	c'est elle qui va vous aider pour le choix de vos cours hein toutes les questions sur les cours elle sera là pour vous aider hein pendant les quelques mois de votre séjour	c'est elle qui va vous aider pour le choix de vos cours hein toutes les questions sur les cours elle sera là pour vous aider hein pendant les quelques mois de votre séjour	[7095, 36480, 7028, 9829, 11351, 8142, 7304, 4570, 7194, 8476, 14670, 7074, 12283, 23404, 27091, 8477, 7217, 5451, 8477, 23404, 7028, 36480, 5375, 7194, 7304, 4570, 7081, 8477, 36513, 37724, 7074, 12285, 32416]	celui-là être elle prochain que aller vous aider pour le choix de à_toi cours ensemble les question sur les cours elle être là pour vous aider pendant les n'importe_qui mois de votre colonie_de_vacance
cefc-fleuron-V_Rint_exo_05_P8-30	donc c'est ce papier qu'il faudra me compléter	donc c'est ce papier qu'il faudra me compléter	[7095, 36480, 7095, 8349, 11351, 15523, 6632, 15816]	celui-là être celui-là papier que devoir me compléter
cefc-fleuron-V_Rint_exo_05_P8-68	vous avez la carte d'étudiante	vous avez la carte d'étudiante	[7304, 32761, 8476, 5505, 7074, 32666]	vous avoir le carte_géographique de étudiant
cefc-fleuron-V_Rint_exo_05_P8-80	hum avez-vous ma lettre ma lettre d'acceptance	hum avez-vous ma lettre ma lettre d'acceptance	[32761, 7304, 12264, 2688, 12264, 2688, 7074, 3417]	avoir vous mon lettre mon lettre de !
cefc-fleuron-V_Rint_exo_05_P8-39	je vais vous donner un rendez-vous	je vais vous donner un rendez-vous	[6632, 8142, 7304, 16167]	me aller vous donner_un_rendez-vous
cefc-fleuron-V_Rint_exo_05_P8-54	vous le complétez tranquillement dans votre chambre	vous le complétez tranquillement dans votre chambre	[7304, 8476, 15816, 4676, 7034, 12285, 33068]	vous le compléter doucement dans votre chambre
cefc-fleuron-V_Rint_exo_05_P8-65	j'enregistre les les renseignements et ensuite	j'enregistre les les renseignements et ensuite	[6632, 28893, 8477, 9899, 11399, 32749]	me enregistrer les information et après
cefc-fleuron-V_Rint_exo_05_P8-53	je vous donne ce document	je vous donne ce document	[6632, 7304, 17040, 7095, 21802]	me vous donner celui-là document
cefc-fleuron-V_Rint_exo_05_P8-69_1	ah oui	ah oui	[5584]	oui
cefc-fleuron-V_Rint_exo_05_P8-31	juste les documents les les mots qui sont mis en jaune hein	juste les documents les les mots qui sont mis en jaune hein	[21381, 8477, 16169, 8477, 9837, 11351, 6989, 11709, 2648]	juste les documents_personnels les mot que mettre au jaune
cefc-fleuron-V_Rint_exo_05_P8-8	vendredi très très bien	vendredi très très bien	[6629, 11599]	vendredi très_bien
cefc-fleuron-V_Rint_exo_05_P8-9	donc nnaammee donc je vais vous expliquer un petit peu la procédure hein	donc nnaammee donc je vais vous expliquer un petit peu la procédure hein	[36935, 6632, 8142, 7304, 16705, 5546, 8476, 24709]	haut_du_corps me aller vous expliquer peu le démarches
cefc-fleuron-V_Rint_exo_05_P8-17	vous étudiez éducation	vous étudiez éducation	[7304, 37810, 8098]	vous étudier stage
cefc-fleuron-V_Rint_exo_05_P8-85	ça va sinon vous avez d'autres questions	ça va sinon vous avez d'autres questions	[11597, 7304, 32761, 7074, 17056, 7217]	comment_ça_va vous avoir de autres question
cefc-fleuron-V_Rint_exo_05_P8-69_2	ok d'accord	ok d'accord	[31410]	d'accord
cefc-fleuron-V_Rint_exo_05_P8-43	j'aurai besoin de la copie hein de de la carte	j'aurai besoin de la copie hein de de la carte	[9829, 6632, 37160, 7074, 8476, 7064, 4766, 7074, 8476, 5505]	prochain me besoin de le avec pie de le carte_géographique
cefc-fleuron-V_Rint_exo_05_P8-24	oh bah c'est très bien c'est très bien c'est parfait nnaammee	oh bah c'est très bien c'est très bien c'est parfait nnaammee	[7095, 36480, 11599, 7095, 36480, 11599, 7095, 36480, 38006, 36935]	celui-là être très_bien celui-là être très_bien celui-là être impeccable haut_du_corps
cefc-fleuron-V_Rint_exo_05_P8-67	et vous aurez la carte d'étudiant jeudi	et vous aurez la carte d'étudiant jeudi	[11399, 9829, 7304, 32761, 8476, 5505, 7074, 32666, 6536]	et prochain vous avoir le carte_géographique de étudiant jeudi
cefc-fleuron-V_Rint_exo_05_P8-10	quand les étudiants erasmus arrivent à l'université nancy deux je vois que vous êtes là pour deux semestres	quand les étudiants erasmus arrivent à l'université nancy deux je vois que vous êtes là pour deux semestres	[32874, 8477, 6042, 12333, 16807, 7041, 8476, 2628, 6632, 6564, 11351, 7304, 36480, 5375, 7194, 2628]	quand les élève association_à_but_non_lucratif arrive à le deux me voir que vous être là pour deux
cefc-fleuron-V_Rint_exo_05_P8-75	est-ce que vous êtes allée au test de français de monsieur nnaammee	est-ce que vous êtes allée au test de français de monsieur nnaammee	[9839, 3418, 7304, 8142, 11709, 7074, 36367, 7074, 4744, 36935]	passé est-ce_que vous aller au de français de monsieur haut_du_corps
cefc-fleuron-V_Rint_exo_05_P8-74	sinon vous êtes euh	sinon vous êtes euh	[7304, 36480]	vous être
cefc-fleuron-V_Rint_exo_05_P8-1	c'est bon	c'est bon	[7095, 36480, 34641]	celui-là être exact
cefc-fleuron-V_Rint_exo_05_P8-37	et l'attestation d'acceptation que vous êtes bien étudiante erasmus	et l'attestation d'acceptation que vous êtes bien étudiante erasmus	[11399, 8476, 29971, 7074, 11351, 7304, 36480, 5397, 32666, 12333]	et le attestation_de_handicap de que vous être heureusement étudiant association_à_but_non_lucratif
cefc-fleuron-V_Rint_exo_05_P8-78	la rentrée c'est le lundi vingt-huit septembre	la rentrée c'est le lundi vingt-huit septembre	[8476, 37036, 7095, 36480, 8476, 6554, 29294, 35929]	le rentrée_scolaire celui-là être le lundi 28 septembre
cefc-fleuron-V_Rint_exo_05_P8-13	je vais vous dire quel est le nom du professeur qui va vous aider tout au long de votre séjour	je vais vous dire quel est le nom du professeur qui va vous aider tout au long de votre séjour	[6632, 8142, 7304, 9693, 22624, 36480, 8476, 38570, 7074, 2457, 11351, 8142, 7304, 4570, 37678, 7074, 12285, 32416]	me aller vous dire quelle être le nom de maître que aller vous aider longtemps de votre colonie_de_vacance
cefc-fleuron-BU_partie_2-2-32	c'est indiqué localisation euh sous-sol euh bu euh	c'est indiqué localisation euh sous-sol euh bu euh	[7095, 36964, 2704]	celui-là désignation ville
cefc-fleuron-BU_partie_2-2-2	ils sont très sensibles	ils sont très sensibles	[7032, 36480, 25708]	ils être trop
