clips	text
cefc-clapi-aperitif_chat-568	pis tu as plus nan
cefc-clapi-aperitif_chat-985	un bon normand comme moi tu vois je
cefc-clapi-aperitif_chat-1117	c'est vraiment chouette
cefc-clapi-aperitif_chat-991	ouais bah pourquoi pas toute façon toi peut-être que tu vas dormir
cefc-clapi-aperitif_chat-423	il y a le mythe
cefc-clapi-aperitif_chat-523	surtout la mienne il sait qu'il a pas le droit
cefc-clapi-aperitif_chat-443	donc c'était vraiment la découverte pour moi
cefc-clapi-aperitif_chat-889	je vais pas laisser ça euh quarante ans là
cefc-clapi-aperitif_chat-842	et voilà
cefc-clapi-aperitif_chat-230	tu es restée un semestre euh fin un semestre
cefc-clapi-aperitif_chat-836	spécialiste le dessous des cartes
cefc-clapi-aperitif_chat-393	ça fait quand même bizarre quoi
cefc-clapi-aperitif_chat-1112	ouais c'est intéressant c'est loin
cefc-clapi-aperitif_chat-679	à force tu vois enfin
cefc-clapi-aperitif_chat-760	en même temps c'est c'est vrai que
cefc-clapi-aperitif_chat-198	bon ben tchin tchin
cefc-clapi-aperitif_chat-376	mais il y a des coins assez jolis ouais
cefc-clapi-aperitif_chat-996	ils croient qu'on est toujours en grève
cefc-clapi-aperitif_chat-668	quoi mais juste parce que juste parce qu'en fait ils peuvent mieux entendre en fait ce son là
cefc-clapi-aperitif_chat-248	d'ailleurs faudra que j'arrête
cefc-clapi-aperitif_chat-605	chacun son tour
cefc-clapi-aperitif_chat-830	complètement à l'ouest
cefc-clapi-aperitif_chat-330	qui euh
cefc-clapi-aperitif_chat-906	hé oui enfin la linguistique c'est super rich super aussi j'vois pas quoi
cefc-clapi-aperitif_chat-776	je vais pas rentrer très tard tu vois
cefc-clapi-aperitif_chat-1068_2	la location courte durée
cefc-clapi-aperitif_chat-772	ouais ouais j'ai
cefc-clapi-aperitif_chat-1155_1	okay attends
cefc-clapi-aperitif_chat-609	hum tu as pas le droit hein
cefc-clapi-aperitif_chat-525	ouais ouais
cefc-clapi-aperitif_chat-496	enfin c'est beaucoup par rapport à ah caramel nan
cefc-clapi-aperitif_chat-1076	quoi ouais mais même l'entretien tu fais rien
cefc-clapi-aperitif_chat-272	ou je l'ai vu à la télé
cefc-clapi-aperitif_chat-242	exactement ouais
cefc-clapi-aperitif_chat-738	les j'ai du mal à travailler hein
cefc-clapi-aperitif_chat-513	moi je pensais que les suédois ils sont
cefc-clapi-aperitif_chat-402	et après nuit c'est tout c'est euh
cefc-clapi-aperitif_chat-923	si par exemple tu étudies juste l'anglais
cefc-clapi-aperitif_chat-186	non et puis c'est tout le temps quoi ouais
cefc-clapi-aperitif_chat-1063	a tu sais y a des trucs de location avis tout ça
cefc-clapi-aperitif_chat-782	c'est vrai quand même ça
cefc-clapi-aperitif_chat-900	je dirais sans sans t'en rendre
cefc-clapi-aperitif_chat-686	il fallait faire des euh des arbres qui montrent en
cefc-clapi-aperitif_chat-804	ça fait vraiment culture g tout enfin
cefc-clapi-aperitif_chat-829	effectivement euh
cefc-clapi-aperitif_chat-1126	et euh puis voilà on va peut-être
cefc-clapi-aperitif_chat-442	moi non plus en fait j'y étais jamais avant hein
cefc-clapi-aperitif_chat-608	hm minou
cefc-clapi-aperitif_chat-317	en sué ouais
cefc-clapi-aperitif_chat-750	ah ouais hm je vois ouais
cefc-clapi-aperitif_chat-375	c'est pareil
cefc-clapi-aperitif_chat-382	besançon c'est
cefc-clapi-aperitif_chat-877	non ah je veux bien ouais
cefc-clapi-aperitif_chat-1099	nous on fait beaucoup de vélo
cefc-clapi-aperitif_chat-512	ça par exemple j'étais surprise
cefc-clapi-aperitif_chat-706	je te jure hein enfin
cefc-clapi-aperitif_chat-1062	c'est pas comme euh
cefc-clapi-aperitif_chat-916	c'est enfin en fait
cefc-clapi-aperitif_chat-583	ou alors ils attrapent ouais
cefc-clapi-aperitif_chat-563	ouais en fait le problème c'est il faut
cefc-clapi-aperitif_chat-992	tu vois moi tôt euh je travaille à quatre heures du mat hein
cefc-clapi-aperitif_chat-724	quoi ouais mais justement fait
cefc-clapi-aperitif_chat-840	là il y a le truc en
cefc-clapi-aperitif_chat-56	ça euh la pataterie
cefc-clapi-aperitif_chat-553	enfin tu sais un petit chien en fait d'appartement
cefc-clapi-aperitif_chat-958	si si c'est intéressant c'est clair hein
cefc-clapi-aperitif_chat-98	ouais ouais particulier
cefc-clapi-aperitif_chat-481	mais juste avec du jus
cefc-clapi-aperitif_chat-359	jura saône et loire ain tu vois
cefc-clapi-aperitif_chat-571	c'est vrai hein m hm
cefc-clapi-aperitif_chat-1066	nan c'est pas vraiment comme avis
cefc-clapi-aperitif_chat-989	parce que alors déjà une idée en fait pour ressortir après en ville
cefc-clapi-aperitif_chat-970	glace voilà
cefc-clapi-aperitif_chat-789	de chomsky
cefc-clapi-aperitif_chat-766	lui c'est
cefc-clapi-aperitif_chat-946	parce qu'après en fait c'est pas directement lié à la linguistique forcément
cefc-clapi-aperitif_chat-1121	bon bah bah bah on va y aller
cefc-clapi-aperitif_chat-23	je l'ai jamais vu ce petit chat
cefc-clapi-aperitif_chat-1153	mais moi je suis chaud bouillant là
cefc-clapi-aperitif_chat-106	ça va bien avec ça d'ailleurs avec les rideaux là
cefc-clapi-aperitif_chat-1127	un petit peu allez go hein
cefc-clapi-aperitif_chat-417	l'en fait il fait toujours nuit
cefc-clapi-aperitif_chat-880	le hein
cefc-clapi-aperitif_chat-363	jura pendant les vacances pf h
cefc-clapi-aperitif_chat-213	moi aussi j'aime
cefc-clapi-aperitif_chat-1124	allez et pis bah
cefc-clapi-aperitif_chat-1090	quand même
cefc-clapi-aperitif_chat-696	et en fait voilà à l'envers
cefc-clapi-aperitif_chat-919	et euh quand tu t'intéresses vraiment aux langues les sciences du langage c'est en effet euh
cefc-clapi-aperitif_chat-22	la moi
cefc-clapi-aperitif_chat-449	un peu euh
cefc-clapi-aperitif_chat-1023	ouais ouais c'est vrai ouais
cefc-clapi-aperitif_chat-1150	ouais c'est vrai dans l'escalier
cefc-clapi-aperitif_chat-533	on sait
cefc-clapi-aperitif_chat-716	nan l'option enfin ouais ça je sais ouais
cefc-clapi-aperitif_chat-488	après il y en a quelques-uns en fait qui boivent hm hm
cefc-clapi-aperitif_chat-1024	bah on va finir et pis
cefc-clapi-aperitif_chat-943_1	communication en entreprise en fait tu vois par exemple la communication entre différentes branches de l'entreprise ou enfin
cefc-clapi-aperitif_chat-620	ça se voit il t'écoute pourtant
cefc-clapi-aperitif_chat-723	la compta c'est plus euh des règles
cefc-clapi-aperitif_chat-527	à la limite il
cefc-clapi-aperitif_chat-1049	une euh lexus une euh enfin lexus une citroen
cefc-clapi-aperitif_chat-163	donc euh
cefc-clapi-aperitif_chat-1020	mais là moi moi j'ai bé j'ai loué la hm la voiture euh
cefc-clapi-aperitif_chat-638	ouais ouais
cefc-clapi-aperitif_chat-549	en fait
cefc-clapi-aperitif_chat-297	hm et comme ça après quand je suis arrivée après quatre semaines cinq semaines on était on était déjà vraiment proches quoi enfin comme des amis parce qu'on avait échangé via int via internet pis après
cefc-clapi-aperitif_chat-926	mais tu comprends pas grand-chose au fonctionnement des langues
cefc-clapi-aperitif_chat-921	parce qu'
cefc-clapi-aperitif_chat-703	comme quoi c'est vraiment logique tu vois
cefc-clapi-aperitif_chat-944	en fait
cefc-clapi-aperitif_chat-191	c'est ouais c'est dans mon plan pour arrêter l'eau
cefc-clapi-aperitif_chat-601	je sais pas ouais
cefc-clapi-aperitif_chat-1035	tu tu as ton
cefc-clapi-aperitif_chat-19	oh mais il reviendra bien
cefc-clapi-aperitif_chat-719	hm bah ça encore là j'aurais pas trop eu peur tu vois
cefc-clapi-aperitif_chat-60	ah ouais
cefc-clapi-aperitif_chat-405	c'est comme si tu habites dans une grotte
cefc-clapi-aperitif_chat-115	à soixante-dix
cefc-clapi-aperitif_chat-1039	c'est comme un vélov
cefc-clapi-aperitif_chat-37	je la laisse là
cefc-clapi-aperitif_chat-881	oui évidemment l'histoire géo je pense ça sert vraiment toujours
cefc-clapi-aperitif_chat-268	quoi c'est quoi ça
cefc-clapi-aperitif_chat-265	et là-bas et j'ai profité d'un système qui s'appelle le couchsurfing
cefc-clapi-aperitif_chat-783	ça dépend de qui
cefc-clapi-aperitif_chat-441	doit être joli là-bas
cefc-clapi-aperitif_chat-138	mal en fait on n'a plus là maintenant ouais
cefc-clapi-aperitif_chat-140	toi tu veux autre chose
cefc-clapi-aperitif_chat-1081	tu rends la voiture
cefc-clapi-aperitif_chat-28	mais je te jure
cefc-clapi-aperitif_chat-736	les y a beaucoup de grèves
cefc-clapi-aperitif_chat-95	enfin ça va pas dans l'intérieur de de n'importe qui quoi
cefc-clapi-aperitif_chat-323	pour apprendre les langues
cefc-clapi-aperitif_chat-458	en fait qu'il fait vraiment nuit toute la journée
cefc-clapi-aperitif_chat-619	à la niche
cefc-clapi-aperitif_chat-907	ça sert
cefc-clapi-aperitif_chat-943_2	mais tout ce qui est tout ce qui relève de ça
cefc-clapi-aperitif_chat-169	bon je me sers
cefc-clapi-aperitif_chat-1055	et une euh c'est un y aura une voiture en plus petit une voiture quoi
cefc-clapi-aperitif_chat-420	en plus moi j'étais dans le sud de la suède
cefc-clapi-aperitif_chat-256	en hiver oui
cefc-clapi-aperitif_chat-856	mais ça c'est vrai que l'histoire j'ai jamais trop accroché
cefc-clapi-aperitif_chat-21	ouais il explore il explore un peu
cefc-clapi-aperitif_chat-893	bah reprends en toi aussi
cefc-clapi-aperitif_chat-747	ouais c'est toujours pareil
cefc-clapi-aperitif_chat-683	hum chomsky je suis un spécialiste de chomsky
cefc-clapi-aperitif_chat-224	de temps
cefc-clapi-aperitif_chat-445	et tu as visité
cefc-clapi-aperitif_chat-807	qu'on bosse euh
cefc-clapi-aperitif_chat-940	quoi dans quoi enfin communication médiation euh
cefc-clapi-aperitif_chat-851	enfin j'ai toujours l'impression
cefc-clapi-aperitif_chat-1051	c'est pas pareil
cefc-clapi-aperitif_chat-128	vous voulez un petit jus de fruit
cefc-clapi-aperitif_chat-155_1	tu en veux
cefc-clapi-aperitif_chat-785	enfin c'est des dossiers normalement
cefc-clapi-aperitif_chat-665	les les langues gutturales
cefc-clapi-aperitif_chat-240	tu viens d'y aller
cefc-clapi-aperitif_chat-495	hm hm il y a une vraie distinction
cefc-clapi-aperitif_chat-254	non bah
cefc-clapi-aperitif_chat-535	mais il sait qu'il a pas le droit
cefc-clapi-aperitif_chat-167	quoi on n'a plus de glaçons
cefc-clapi-aperitif_chat-45	ah c'est c'est vrai
cefc-clapi-aperitif_chat-1071	donc c'est beaucoup moins cher forcément
cefc-clapi-aperitif_chat-781	tu as pas grand-chose à faire
cefc-clapi-aperitif_chat-30	oh mais il est beau ton chat
cefc-clapi-aperitif_chat-210	j'avais pas remarqué jusqu'
cefc-clapi-aperitif_chat-251	ouais mais c'était c'était chouette en fait en s en suède en plus
cefc-clapi-aperitif_chat-6	ça fait un moment hein
cefc-clapi-aperitif_chat-369	quoi euh hm
cefc-clapi-aperitif_chat-998	hm nan
cefc-clapi-aperitif_chat-564	faut pouvoir aérer
cefc-clapi-aperitif_chat-667	ou je sais pas
cefc-clapi-aperitif_chat-304_2	là-bas ils parlent euh enfin
cefc-clapi-aperitif_chat-296	moi quand je suis arrivée en suède en fait enfin déjà auparavant j'ai pu euh prendre contact avec des suédois ou bien près du du site
cefc-clapi-aperitif_chat-29	on peut poser les habits
cefc-clapi-aperitif_chat-551	c'est vrai que moi j'aimerais bien en avoir
cefc-clapi-aperitif_chat-528	ouais ouais
cefc-clapi-aperitif_chat-357	hm hm saint amour c je sais pas si ça te dit quelque chose
cefc-clapi-aperitif_chat-1083_2	tu l'utilises
cefc-clapi-aperitif_chat-590	si tu veux prendre un chihuahua autant prendre un gros rat
cefc-clapi-aperitif_chat-398	en fait pendant toute la journée
cefc-clapi-aperitif_chat-497	nan mais c'est pas grave c'est pas grave laisse-le
cefc-clapi-aperitif_chat-107	hm hm pis même avec euh
cefc-clapi-aperitif_chat-1144	c'est bizarre en
cefc-clapi-aperitif_chat-1000	alors enfin
cefc-clapi-aperitif_chat-1131	ça va
cefc-clapi-aperitif_chat-689	elle l'a sélectionné
cefc-clapi-aperitif_chat-645	c'est deux bruits comme qu'il comprend
cefc-clapi-aperitif_chat-854	faudra vraiment que je lise ou
cefc-clapi-aperitif_chat-651	mais sinon enfin il va pas vraiment
cefc-clapi-aperitif_chat-170	on a plus de glaçons
cefc-clapi-aperitif_chat-1044	enfin si veux tu veux réserver même euh une heure à l'avance
cefc-clapi-aperitif_chat-68	petit euh je sais pas moi une petite vodka ou euh
cefc-clapi-aperitif_chat-917	moi j'ai une autre approche
cefc-clapi-aperitif_chat-399	tu as deux heures de lumière par jour
cefc-clapi-aperitif_chat-690	et bah je pense pas qu'elle ait compris en fait que il était juste là pour une visite quoi tu vois
cefc-clapi-aperitif_chat-360	c'est hm hm bah saint amour en fait
cefc-clapi-aperitif_chat-269	et ça je te laisse expliquer
cefc-clapi-aperitif_chat-148	bien sûr
cefc-clapi-aperitif_chat-538	quand vous étiez quand vous quand vous étiez petits
cefc-clapi-aperitif_chat-930	tu as essayé de noyer
cefc-clapi-aperitif_chat-305	plutôt anglais suédois fin je sais pas
cefc-clapi-aperitif_chat-285	enfin là
cefc-clapi-aperitif_chat-510	ils font beaucoup de soirées
cefc-clapi-aperitif_chat-1114	nan nan bah bah toute façon on va y aller tu vas voir là
cefc-clapi-aperitif_chat-841	mille cinq cents
cefc-clapi-aperitif_chat-432	donc ouais j'en veux bien d'autres ouais
